react;16.9.0;MIT;[object Object];React is a JavaScript library for building user interfaces.
react-dom;16.9.0;MIT;[object Object];React package for working with the DOM.
react-emotion;10.0.0;MIT;https://github.com/emotion-js/react-emotion-redirect;This package is not relevant in Emotion 10, please use @emotion/styled
react-helmet;5.2.1;MIT;[object Object];A document head manager for React
react-icons;3.7.0;MIT;[object Object];SVG React icons of popular icon packs using ES6 imports
react-share;2.4.0;MIT;[object Object];Social media share buttons and share counts for React.
rehype-react;3.1.0;MIT;https://github.com/rhysd/rehype-react;Compile Hast tree to React with remark
rimraf;2.7.1;ISC;[object Object];A deep deletion module for node (like `rm -rf`)
tslint;5.18.0;Apache-2.0;[object Object];An extensible static analysis linter for the TypeScript language
tslint-config-blvd;1.2.1;Apache-2.0;[object Object];A TSLint config that conforms to the blvd TypeScript styleguide.
tslint-config-prettier;1.18.0;MIT;[object Object];Do you wanna use tslint and prettier without conflicts? tslint-config-prettier disables all conflicting rules that may cause such problems. Prettier takes care of formatting and tslint the rest.
tslint-plugin-prettier;2.0.1;MIT;https://github.com/ikatyang/tslint-plugin-prettier;Runs Prettier as a TSLint rule and reports differences as individual TSLint issues.
tslint-xo;0.16.0;MIT;xojs/tslint-xo;TSLint shareable config for XO
typescript;3.5.3;Apache-2.0;[object Object];TypeScript is a language for application scale JavaScript development
